year,award,caucasianAmerican,movie,image
1928,Actor in a Leading Role,Richard Barthelmess,The Noose and The Patent Leather Kid,https://kaway169.github.io/ci19/studio/collection/images/richardbarthelmess.gif
1929,Actor in a Leading Role,Warner Baxter,In Old Arizona,https://kaway169.github.io/ci19/studio/collection/images/warnerbaxter.gif
1929,Actor in a Leading Role,George Bancroft,Thunderbolt,https://kaway169.github.io/ci19/studio/collection/images/georgebancroft.png
1929,Actor in a Leading Role,Chester Morris,Alibi,https://kaway169.github.io/ci19/studio/collection/images/chestermorris.gif
1929,Actor in a Leading Role,Paul Muni,The Valiant,https://kaway169.github.io/ci19/studio/collection/images/paulmuni.gif
1929,Actor in a Leading Role,Lewis Stone,The Patriot,https://kaway169.github.io/ci19/studio/collection/images/lewisstone.gif
1930,Actor in a Leading Role,Wallace Beery,The Big House,https://kaway169.github.io/ci19/studio/collection/images/wallacebeery.gif
1930,Actor in a Leading Role,Lawrence Tibbett,The Rogue Song,https://kaway169.github.io/ci19/studio/collection/images/lawrencetibbett.jpg
1931,Actor in a Leading Role,Lionel Barrymore,A Free Soul,https://kaway169.github.io/ci19/studio/collection/images/lionelbarrymore.gif
1931,Actor in a Leading Role,Jackie Cooper,Skippy,https://kaway169.github.io/ci19/studio/collection/images/jackiecooper.gif
1931,Actor in a Leading Role,Richard Dix,Cimarron,https://kaway169.github.io/ci19/studio/collection/images/richarddix.gif
1931,Actor in a Leading Role,Fredric March,The Royal Family of Broadway,https://kaway169.github.io/ci19/studio/collection/images/fredricmarch.gif
1931,Actor in a Leading Role,Adolphe Menjou,The Front Page,https://kaway169.github.io/ci19/studio/collection/images/adolphemenjou.gif
1932,Actor in a Leading Role,Wallace Beery,The Champ,https://kaway169.github.io/ci19/studio/collection/images/wallacebeery2.gif
1932,Actor in a Leading Role,Fredric March,Dr. Jekyll and Mr. Hyde,https://kaway169.github.io/ci19/studio/collection/images/fredricmarch.gif
1932,Actor in a Leading Role,Alfred Lunt,The Guardsman,https://kaway169.github.io/ci19/studio/collection/images/alfredlunt.gif
1933,Actor in a Leading Role,Charles Laughton,The Private Life of Henry VIII,https://kaway169.github.io/ci19/studio/collection/images/charleslaughton.gif
1933,Actor in a Leading Role,Paul Muni,I Am a Fugitive from a Chain Gang,https://kaway169.github.io/ci19/studio/collection/images/paulmuni.gif
1934,Actor in a Leading Role,Clark Gable,It Happened One Night,https://kaway169.github.io/ci19/studio/collection/images/clarkgable.gif
1934,Actor in a Leading Role,Frank Morgan,The Affairs of Cellini,https://kaway169.github.io/ci19/studio/collection/images/frankmorgan.gif
1934,Actor in a Leading Role,William Powell,The Thin Man,https://kaway169.github.io/ci19/studio/collection/images/williampowell.gif
1935,Actor in a Leading Role,Clark Gable,Mutiny on the Bounty,https://kaway169.github.io/ci19/studio/collection/images/clarkgable.gif
1935,Actor in a Leading Role,Franchot Tone,Mutiny on the Bounty,https://kaway169.github.io/ci19/studio/collection/images/franchottone.gif
1936,Actor in a Leading Role,Paul Muni,The Story of Louis Pasteur,https://kaway169.github.io/ci19/studio/collection/images/paulmuni.gif
1936,Actor in a Leading Role,Gary Cooper,Mr. Deeds Goes to Town,https://kaway169.github.io/ci19/studio/collection/images/garycooper.gif
1936,Actor in a Leading Role,William Powell,My Man Godfrey,https://kaway169.github.io/ci19/studio/collection/images/williampowell.gif
1936,Actor in a Leading Role,Spencer Tracy,San Francisco,https://kaway169.github.io/ci19/studio/collection/images/spencertracy.gif
1937,Actor in a Leading Role,Spencer Tracy,Captains Courageous,https://kaway169.github.io/ci19/studio/collection/images/spencertracy1.gif
1937,Actor in a Leading Role,Fredric March,A Star Is Born,https://kaway169.github.io/ci19/studio/collection/images/fredricmarch.gif
1937,Actor in a Leading Role,Robert Montgomery,Night Must Fall,https://kaway169.github.io/ci19/studio/collection/images/robertmontgomery.gif
1937,Actor in a Leading Role,Paul Muni,The Life of Emile Zola,https://kaway169.github.io/ci19/studio/collection/images/paulmuni.gif
1938,Actor in a Leading Role,Spencer Tracy,Boys Town,https://kaway169.github.io/ci19/studio/collection/images/spencertracy.gif
1938,Actor in a Leading Role,James Cagney,Angels with Dirty Faces,https://kaway169.github.io/ci19/studio/collection/images/jamescagney.gif
1939,Actor in a Leading Role,Clark Gable,Gone with the Wind,https://kaway169.github.io/ci19/studio/collection/images/clarkgable.gif
1939,Actor in a Leading Role,Mickey Rooney,Babes in Arms,https://kaway169.github.io/ci19/studio/collection/images/mickeyrooney.gif
1939,Actor in a Leading Role,James Stewart,Mr. Smith Goes to Washington,https://kaway169.github.io/ci19/studio/collection/images/jamesstewart.gif
1940,Actor in a Leading Role,James Stewart,The Philadelphia Story,https://kaway169.github.io/ci19/studio/collection/images/jamesstewart.gif
1940,Actor in a Leading Role,Henry Fonda,The Grapes of Wrath,https://kaway169.github.io/ci19/studio/collection/images/henryfonda.gif
1941,Actor in a Leading Role,Gary Cooper,Sergeant York,https://kaway169.github.io/ci19/studio/collection/images/garycooper.gif
1941,Actor in a Leading Role,Robert Montgomery,Here Comes Mr. Jordan,https://kaway169.github.io/ci19/studio/collection/images/robertmontgomery.gif
1941,Actor in a Leading Role,Orson Welles,Citizen Kane,https://kaway169.github.io/ci19/studio/collection/images/orsonwelles.gif
1942,Actor in a Leading Role,James Cagney,Yankee Doodle Dandy,https://kaway169.github.io/ci19/studio/collection/images/jamescagney.gif
